MOVIE, YEAR, MALE MENTIONS, FEMALE MENTIONS
The Japanese Wife,2010,0,11
Laaga Chunari Mein Daag,2007,7,65
Ankahee (2006 film),2006,60,79
Ya Rab,2014,17,1
Paisa Vasool,2004,1,0
Haqeeqat (1995 film),1995,0,9
Jeeo Aur Jeene Do,1982,23,17
Jaanam Samjha Karo,1999,80,10
Daraar,1987,47,24
Kabhi Alvida Naa Kehna,2006,46,65
Hero Hiralal,1988,0,16
Ram Lakhan,1989,92,10
Dilwale,1994,158,21
Kanoon Apna Apna,1988,17,0
Gori Tere Pyaar Mein,2013,75,31
Kaabil,2017,69,34
Matru Ki Bijlee Ka Mandola,2013,47,33
Nishchaiy,1992,38,25
Dillagi (1999 film),1999,19,1
Jimmy,2008,7,1
All The Best: Fun Begins,2009,47,6
Don Muthu Swami,2008,3,0
Mahabali Hanuman,1981,6,0
Mere Saath Chal,1974,7,11
Vijaypath,1994,28,0
Veeru Dada,1990,13,9
Hum Aapke Dil Mein Rehte Hain,1999,57,52
Rab Ne Bana Di Jodi,2008,70,83
Karle Pyaar Karle,2014,5,0
Major Saab,1998,21,4
Divya Shakti,1993,3,0
Bezubaan,1982,10,8
Aao Pyaar Karen,1983,19,23
Garam Masala,2005,53,6
Naseem (film),1995,1,0
Bindiya Chamkegi,1984,2,3
Aman Ke Farishtey,2003,6,0
Chaarfutiya Chhokare,2014,0,9
Mela (2000 film),2000,44,45
Katti Batti,2015,6,8
Pizza,2014,39,25
Kya Yehi Pyaar Hai,2002,48,15
Taal (1999 film),1999,134,21
Pyar Ka Mandir,1988,21,12
Baabul (2006 film),2006,50,26
Dil Jo Bhi Kahey...,2005,16,16
Ek Paheli,1971,46,23
Happy Bhaag Jayegi,2016,81,44
Mubarakan,2017,3,0
Bin Bulaye Baraati,2011,12,0
Gopi Kishan,1994,13,0
Kora Kagaz,1974,8,10
Barsaat (2005 film),2005,24,21
Jism 2,2012,128,82
Do Gaz Zameen Ke Neeche,1972,0,5
Pasand Apni Apni,1983,6,1
Rockstar,2011,53,26
Jai Shiv Shankar,1990,6,0
Babu,1985,9,10
Main Intequam Loonga,1982,25,4
Ghar,1978,8,4
Bachke Rehna Re Baba,2005,1,11
Aamir,2008,18,0
Dharam Kanta,1982,31,0
Khalnayak,1993,78,5
Nehlle Pe Dehlla,2007,0,1
Sapoot,1996,12,0
Ghar Ghar Ki Kahani,1970,10,0
Gang (2000 film),2000,2,0
Phool Aur Angaar,1993,22,15
Risk,2007,75,9
Revolver Rani,2014,6,13
Naajayaz,1995,37,0
Shastra,1996,32,0
Kal Aaj Aur Kal,1971,16,0
Yaar Gaddar,1994,11,10
Life Partner,2009,84,26
Shaandaar,2015,12,21
O Teri,2014,1,4
Yea Toh Two Much Ho Gayaa,2016,0,0
Lafangey Parindey,2010,4,1
Indian,2001,15,0
Wah Taj,2014,18,0
Jab Pyaar Kisise Hota Hai,1998,74,23
Dum,2003,52,23
Shatranj Ke Khilari,1977,0,0
Kick (2014 Film),2014,60,15
Wake Up Sid,2009,60,22
Sooper Se Ooper,2013,8,0
Deewane Huye Paagal,2005,166,96
Amiri Garibi,1990,7,16
Bawandar,2000,7,12
No Problem,2010,63,15
Mere Sajna,1975,11,1
Aiyyaa,2012,13,40
Pyaasa Sawan,1981,14,6
Deewane,2000,73,31
Pyaar Impossible!,2010,14,96
Aarakshan,2011,50,27
Yeh Raaste Hain Pyaar Ke,2001,40,24
I Love NY (2015 film),2015,0,0
Parineeta,2005,19,4
Sirf Tum,1999,7,10
Veergati,1995,28,1
Dekh Tamasha Dekh,2014,3,0
Shikhar,2006,26,2
Kuch Kuch Locha Hai,2015,45,53
Haunted  3D,2011,88,39
Malamaal Weekly,2006,65,1
Dreams (2005 film),2005,41,0
Aaj Ka M.L.A. Ram Avtar,1984,0,0
Haath Ki Safai,1974,2,0
Dil Se..,1998,61,12
Rokkk,2010,1,46
Fatso!,2012,23,3
Do Boond Pani,1971,18,0
NH10,2015,20,82
Players,2012,48,47
Ishq Par Zor Nahin,1970,18,10
Baazigar,1993,120,96
Ram Jaane,1995,106,8
Delhi-6,2009,25,81
Mirch Masala,1985,43,25
Anthony Kaun Hai?,2006,30,8
Parda Hai Parda,1992,74,30
Parched,2016,19,107
Kabul Express,2006,50,9
Jaagruti,1992,14,0
Apna Bana Lo,1982,17,5
Dard Ka Rishta,1982,17,22
Zindagi Tere Naam,2012,9,10
Buddha Mar Gaya,2007,11,2
Half Girlfriend (film),2017,67,22
Sabse Bada Khiladi,1995,84,28
Tahqiqaat,1993,45,10
Hindi Medium (film),2017,105,0
Guddu Rangeela,2015,8,0
Housefull 2,2012,101,57
Satyagraha,2013,12,0
Haseena Maan Jaayegi,1999,36,6
Pehchaan,1993,22,7
Kurbaan (2009 film),2009,32,102
Naksha,2006,24,20
Deedar-E-Yaar,1982,68,10
Hulchul,1971,28,12
Yodha (1991 film),1991,24,4
Bheegi Palkein,1982,20,17
Golmaal Returns,2008,69,25
Talvar,2015,31,0
Shri Krishna Leela,1971,11,1
Mera Desh Mera Dharam,1973,0,0
Astitva,2000,37,44
Tanu Weds Manu,2011,141,90
Pyaar Tune Kya Kiya,2001,32,54
Manchali,1973,0,1
Rocky Handsome,2016,59,29
Jawani Diwani,1972,8,5
Saugandh,1991,8,0
Ishq Vishk,2003,69,58
Ek: The Power of One,2009,36,0
Corporate (2006 film),2006,94,3
No Smoking,2007,43,1
Mohra,1994,104,7
Dilwale Dulhania Le Jayenge,1995,78,62
Agneekaal,1990,7,1
Makdee,2002,2,29
Faasle,1985,10,7
Yaariyan,2014,15,5
Bol Bachchan,2012,19,29
Anurodh,1977,27,9
Zid (2014 film),2014,57,107
Paisa Ho Paisa,2015,1,0
Bawarchi,1972,6,0
Mere Humsafar,1970,13,13
Vijay (1988 film),1988,74,4
Mary Kom,2014,12,0
Qaidi,1984,15,1
Aaja Nachle,2007,84,55
Shiva (2006 film),2006,8,0
Kunwara Baap,1974,8,3
Oh  My God,2008,11,0
Sparsh (film),1980,17,28
Jolly LLB 2,2017,117,5
Paa,2009,48,46
Rootha Na Karo,1970,27,38
Parampara,1992,104,81
Dream Girl,1977,0,1
G Kutta Se,2017,3,0
Shool,1999,123,8
Ajab Prem Ki Ghazab Kahani,2009,64,27
Anubhav,1971,26,16
Adventures of Tarzan,1985,10,11
Kochadaiiyaan,2014,154,21
Raju Ban Gaya Gentleman,1992,30,26
Ab Kya Hoga,1977,5,2
Woh Chokri,1994,12,15
Arvind Desai Ki Ajeeb Dastaan,1978,14,3
Namak Halaal,1982,34,37
Kartavya (1995 film),1995,19,5
Kyun...! Ho Gaya Na,2004,13,18
Thanedaar,1990,39,0
Mumbai Godfather,2005,22,0
Hawayein,2003,0,0
Saathiya (film),2002,33,42
Elaan (1994 film),1994,18,0
Yugpurush,1998,17,8
Hum Tere Ashiq Hain,1979,12,0
Daava,1997,18,0
Calendar Girls,2015,9,70
Rehnaa Hai Terre Dil Mein,2001,47,58
Alaap,1977,28,6
Aadmi Khilona Hai,1993,34,17
Game,2011,26,104
Gupt: The Hidden Truth,1997,137,44
Sunny,1984,19,14
Mujhse Fraaandship Karoge,2011,13,33
Virasat (1997 film),1997,140,6
Baar Baar Dekho,2016,74,20
Judge Mujrim,1997,55,2
Aamne Samne,1982,12,0
Paagalpan,2001,6,10
Dum Laga Ke Haisha,2015,61,39
Prince - It's Showtime,2010,32,20
Gol Maal,1979,30,38
Tera Mera Saath Rahen,2001,22,7
Dharma,1973,22,35
Bade Ghar Ki Beti,1989,13,13
Kis Kisko Pyaar Karoon,2015,72,25
Virodhi,1992,9,0
Warrant,1975,11,0
Morning Raga,2005,7,22
Badle Ki Aag,1982,15,15
Band Baaja Baaraat,2010,46,91
Sawaal,1982,3,4
Joker,2012,23,0
Bikhare Moti,1971,8,1
Gabbar is Back,2015,85,15
Train to Pakistan,1998,0,1
Welcome to Sajjanpur,2008,22,16
Horror Story (2013 film),2013,24,30
Aadmi Aur Apsara,1991,24,24
Andaz Apna Apna,1994,57,19
Narsimha,1991,52,20
Titli,2015,13,0
Haisiyat,1984,8,0
Thoda Tum Badlo Thoda Hum,2004,16,10
Page 3,2005,21,43
Ravan Raaj: A True Story,1995,11,0
Bhavna,1984,17,12
Deshdrohi,2008,1,0
Luck by Chance,2009,68,44
Jal Bin Machhli Nritya Bin Bijli,1971,0,5
R... Rajkumar,2013,47,8
Humshakal,1974,46,61
Ghanchakkar,2013,74,19
Superstar,2008,11,0
The Legend of Bhagat Singh,2002,19,0
International Hero,2015,4,0
Anand Aur Anand,1984,23,7
13B,2009,32,7
Jeeva (1986 film),1986,6,0
Aashiq,2001,113,47
Mukti,1977,9,7
Chal Mere Bhai,2000,33,13
Shahid (film),2013,28,1
M Cream,2016,0,6
Yeh Hai Jalwa,2002,134,38
Ameer Aadmi Gharib Aadmi,1985,1,0
Oh My God (2012 film),2012,131,0
London Dreams,2009,67,6
Say Salaam India,2007,9,0
Thank You,2011,146,49
Khoobsurat (2014 film),2014,94,9
Talaash: The Hunt Begins...,2003,55,35
Jeene Ki Arzoo,1981,10,1
Bepanaah,1985,1,0
Sarkar,2005,91,4
Gangs of Wasseypur  Part 2,2012,186,10
Reshma Aur Shera,1971,23,11
Rang De Basanti,2006,28,19
Dahleez,1986,16,0
Tere Pyar Mein,1978,8,14
Umar 55 Ki Dil Bachpan Ka,1992,20,0
Haque,1991,7,21
Vidhaata,1982,52,17
Joshilaay,1989,22,0
Daag: A Poem of Love,1973,14,6
Akayla,1991,20,0
Shabd,2005,44,0
Chennai Express,2013,88,28
Sorry Bhai!,2008,14,8
Mohabbat Ki Kasam,1986,6,0
Chetna,1970,20,24
Agnipankh (2004 film),2004,16,4
Samraat,1982,13,13
Fruit and Nut (film),2009,9,0
Cover Story,2000,5,7
Paying Guests,2009,50,9
Lovers,1983,2,0
Bewafai,1985,9,24
Toonpur Ka Super Hero,2010,19,0
Dekha Pyar Tumhara,1985,7,6
Mukti Bhawan,2017,35,0
Bundal Baaz,1976,112,7
Cocktail,2012,5,135
Coffee Bloom,2015,8,0
MSG: The Warrior Lion Heart,2016,0,0
Sukhmani  Hope for Life,2010,15,4
Shakti - The Power,2002,19,11
Vicky Donor,2012,74,35
Kasoor,2001,39,21
Ek Doctor Ki Maut,1991,11,0
Rang Birangi,1983,5,0
Bhool Bhulaiyaa,2007,41,63
That Girl in Yellow Boots,2011,0,28
Qayamat: City Under Threat,2003,52,10
Om Shanti Om,2007,63,38
Special 26,2013,61,5
Raaz  The Mystery Continues,2009,72,72
Kitne Door Kitne Paas,2002,10,7
Krrish 3,2013,77,17
Pardes,1997,185,143
Sardari Begum,1996,1,2
6-5=2 Hindi,2014,0,0
Zakhmi Dil (1994 film),1994,23,28
M.S. Dhoni: The Untold Story,2016,7,0
Mehbooba (2008 film),2008,66,38
Anubhav (1986 film),1986,56,25
Nishaant,1976,15,7
Bollywood Queen,2002,39,36
Hiraasat,1987,0,0
Paanch Ghantey Mien Paanch Crore,2012,5,0
Dharam Sankat,1991,16,12
Humraaz,2002,140,49
I Hate Luv Storys,2010,35,22
Khoon Aur Paani,1981,28,0
Man Ki Aankhen,1970,7,5
Ram Aur Shyam,1996,29,0
Dil Pardesi Ho Gayaa,2003,9,0
Haathi Mere Saathi,1971,16,5
Zamana (1985 film),1985,11,0
Life Express,2010,0,3
Hoshiyar,1985,35,24
Nazrana,1987,27,48
Shabri,2011,9,13
Big Brother,2007,0,0
Lahu Ke Do Rang,1979,1,0
Welcome Back,2015,51,16
Omkara,2006,5,4
Aagman,1982,5,1
Patthar Ke Phool,1991,102,23
Duniya,1984,62,4
Gunaah (2002 film),2002,17,18
Haathkadi,1982,41,10
Purani Haveli,1989,21,17
Insaaf Ki Devi,1992,16,8
Agnichakra,1997,127,42
Partner,2007,75,22
Angaar,1980,1,0
Ramji Londonwale,2005,28,14
Banaras: A Mystic Love Story,2006,0,1
Tum Mere Ho,1990,9,1
Gangaa Jamunaa Saraswathi,1988,10,2
Mere Jeevan Saathi (1972 film),1972,76,55
Chameli,2004,62,34
Tezz,2012,71,12
English Vinglish,2012,15,61
Tashan,2008,25,48
Awaaz,1984,44,6
Jis Desh Mein Ganga Rehta Hain,2000,42,2
Mr Joe B. Carvalho,2014,10,2
Border (1997 film),1997,252,1
Second Hand Husband,2015,6,5
Lava,1985,1,0
Khal-Naaikaa,1993,10,12
Maalamaal,1988,7,0
Apna Asmaan,2007,24,4
Housefull 3,2016,105,29
Bangistan,2015,24,2
Bhago Bhut Aaya,1985,17,7
Tyagi,1992,28,9
Jigariyaa,2014,2,4
Highway,2014,24,12
Drishyam,2015,66,28
Love Ke Chakkar Mein,2006,3,10
Waqt: The Race Against Time,2005,50,4
Dil Dhadakne Do,2015,73,48
Pyaar Koi Khel Nahin,1999,45,7
Aag Ka Gola,1990,12,5
Saaya,2003,42,12
Shalimar,1978,14,0
Aao Pyaar Karen (1994 film),1994,19,23
Dak Bangla,1987,41,18
Victory,2009,53,8
Tera Jadoo Chal Gayaa,2000,2,0
Massey Sahib,1985,26,0
Andha Yudh,1987,0,1
Jannat 2,2012,35,7
Hari Puttar: A Comedy of Terrors,2008,3,0
Justice Chaudhury,1983,79,12
Insaaf Ka Khoon,1991,0,3
Dabangg,2010,66,11
Damadamm!,2011,32,26
Ek Chotisi Love Story,2002,8,5
Tum Milo Toh Sahi,2010,0,0
Saazish (1998 film),1998,0,0
Brahma (1994 film),1994,3,0
Rajnigandha,1974,5,23
27 Down,1974,16,0
Jannat,2008,74,51
Udhaar Ki Zindagi,1994,33,11
Purana Mandir,1984,67,12
Mr. White Mr. Black,2008,10,0
Ankhon Dekhi,2014,22,2
Dus Numbri,1976,1,0
The Train (2007 film),2007,116,28
Dhobi Ghat,2011,33,72
Zaalim,1994,5,0
Jaisi Karni Waisi Bharni,1989,30,3
Apnapan,1977,23,5
Lakshmi (2014 film),2014,14,45
Ek Main Aur Ekk Tu,2012,89,3
Sanjog (1985 film),1985,4,18
Kahani Ek Chor Ki,1981,20,16
My Wife's Murder,2005,17,8
Phobia (2016 film),2016,16,15
One Two Three (2008 film),2008,12,1
Bachpan,1970,18,0
Shakal Pe Mat Ja,2011,0,0
Mere Dad Ki Maruti,2013,45,6
Hera Pheri (2000 film),2000,1,0
Dulhe Raja,1998,27,77
Kasam Paida Karne Wale Ki,1984,28,8
Lal Baadshah,1999,20,1
Hum Tum,2004,3,82
Ishaqzaade,2012,38,72
Annarth,2002,133,21
Maa Aur Mamta,1970,40,25
Begunaah,1991,59,36
Sanjog,1971,14,26
Kasak (2005 film),2005,1,6
Dharam Veer,1977,90,67
Zameen,2003,14,17
Dolly Ki Doli,2015,8,5
Guddu,1995,24,8
Kalyug,1981,4,0
Yamraaj (film),1998,21,0
Kaante,2002,53,0
Deadline: Sirf 24 Ghante,2006,18,16
Dedh Ishqiya,2014,51,87
Revati,2005,0,10
Platform,1993,111,2
Rahul's Arranged Marriage,2005,9,2
Johny Mera Naam,1970,5,1
Krantiveer,1994,27,7
Imtihaan,1974,10,44
Good Luck!,2008,15,7
Souten,1983,5,5
Airlift (film),2016,60,3
Issaq (2013 film),2013,4,4
Hera Pheri,1976,7,0
Hisss,2010,19,2
Azaad,1978,6,1
Maa Kasam (1985 film),1985,6,0
Raat,1992,10,12
Phir Milenge,2004,9,18
Waiting (2016 film),2016,51,37
Pyaar Mein Twist,2005,0,1
Apna Sapna Money Money,2006,48,21
Sweetiee Weds NRI,2017,5,1
Khoobsurat,1999,21,7
Aag (1994 film),1994,0,10
Bhai,1997,77,4
Yudh (film),1985,43,10
Return of Jewel Thief,1996,7,0
Laawaris,1981,9,0
Dav Pech,1989,14,4
Rok Sako To Rok Lo,2004,0,3
Rudraksh,2004,16,8
Annadata (1972 film),1972,36,23
Do Shikaari,1979,3,4
Avinash,1986,0,0
Tere Naam,2003,54,26
Nishant,1975,15,7
Kasauti,1974,12,12
Paap,2004,35,20
Bheja Fry (2007 film),2007,52,11
Devdas (2002 Hindi film),2002,55,77
Khamosh,1985,25,7
Main Madhuri Dixit Banna Chahti Hoon,2003,0,15
Aggar,2007,5,8
Khushboo,1975,30,19
Veer,2010,55,9
Blood Money,2012,72,7
Cheeni Kum,2007,42,15
Do Phool,1973,29,6
Dulhan Banoo Main Teri,1999,0,2
Chauraha,1994,14,1
Samar,1999,0,0
Zahreelay,1990,3,0
King Uncle (1993 film),1993,21,13
Rupaye Dus Karod,1991,85,24
Pehla Nasha,1993,9,2
Johar Mehmood in Hong Kong,1971,9,9
Badalte Rishtey,1978,47,52
Shanghai,2012,0,0
Gudgudee,1997,16,1
Khalifa,1976,3,0
Gehrayee,1980,4,10
Phir Hera Pheri,2006,73,21
Woh Saat Din,1983,10,21
Suhaag,1979,17,21
Himmat,1970,48,3
Challo Driver,2012,0,0
Wazir (film),2016,97,14
Naina,1973,0,15
Jolly LLB,2013,76,7
Daddy (1989 film),1989,1,18
Kaala Samrajya,1999,21,0
Thanks Maa,2010,4,4
Hari-Bhari,2000,0,19
Jwar Bhata,1973,11,0
Shola Aur Shabnam,1992,5,5
Yeh Dil Aashiqanaa,2002,38,1
Aan Baan (1972 film),1972,32,0
Thodi Thodi Si Manmaaniyan,2017,10,4
Daulat Ki Jung,1992,4,1
Ghayal,1990,69,0
Nayee Padosan,2003,2,0
D,2005,38,2
Singham,2011,61,21
Bombay to Goa (2007 film),2007,9,0
Sikandar,2009,14,0
Koi... Mil Gaya,2003,98,20
Bachna Ae Haseeno,2008,93,56
Son Of Sardaar,2012,15,16
Himmat Aur Mehanat,1987,12,0
Aaj Ka Goonda Raaj,1992,24,2
Yeh Zindagi Ka Safar,2001,29,37
Zeher,2005,17,29
Aag Hi Aag,1987,23,2
Sapnon Ka Mandir,1991,2,0
Race 2,2013,149,24
Kabhi Haan Kabhi Naa,1993,55,23
Riyasat,2014,6,0
Garam Hawa,1973,123,23
Kambakkht Ishq,2009,27,39
Tejaa,1990,11,0
Ek Hi Raasta (1993 film),1993,10,3
Padmashree Laloo Prasad Yadav,2005,14,15
Aulad,1987,10,6
Krodh,2000,6,2
Uttarayan,1985,6,17
Be-Imaan (1972 film),1972,10,0
Pyaar Ka Punchnama 2,2015,18,16
Chalte Chalte (2003 film),2003,57,53
Anjaam (1994 film),1994,73,69
Jaani Dushman,1979,2,9
Krrish,2006,81,35
Gaman,1978,4,1
Fashion,2008,25,83
Queen,2014,0,90
Gurudev,1993,12,0
Aur Ek Prem Kahani,1996,5,3
Love,1991,13,12
Surakshaa,1979,3,0
Sadma,1983,11,26
Awara Paagal Deewana,2002,65,9
Dillagi (1978 film),1978,0,8
Baahubali,2015,66,26
Gulaal,2009,27,10
Jeene Do,1990,50,0
Tulsi,2008,15,5
Do Dooni Chaar,2010,0,1
Main Tulsi Tere Aangan Ki,1978,22,32
Darr,1993,48,28
Hum Hain Bemisaal,1994,60,4
Darwaaza Bandh Rakho,2006,10,7
Haider (film),2014,114,28
Meethi Meethi Baatein,1977,2,0
Nothing But Life,2004,3,0
Aashiqui.in,2011,4,38
Hawaa Hawaai,2014,38,0
Youngistaan,2014,16,0
ChaalBaaz,1989,0,9
Aashiqui 2,2013,64,67
Kshatriya,1993,91,24
Dil Hi To Hai,1992,20,3
Ghulami,1985,39,66
Ishqiya,2010,25,29
Ali Baba,1976,20,2
Main Aur Mera Haathi,1981,0,0
Awarapan,2007,117,72
Teesri Aankh,1982,13,14
Tere Mere Sapne,1971,39,10
Ab Ke Baras,2002,1,7
Life Mein Kabhie Kabhiee,2007,49,12
Aakrosh (2010 film),2010,16,5
Ugly Aur Pagli,2008,11,6
Tarkeeb,1984,0,0
Devaki,2006,20,9
Balwaan,1992,24,6
Buddha in a Traffic Jam,2016,9,0
Bbuddah... Hoga Terra Baap,2011,69,5
Fire,1996,22,37
Mumbai 125 KM 3D,2014,35,19
Shortcut Safari,2016,0,0
Lucky: No Time for Love,2005,20,13
Aaj Ka Dada,1985,2,0
Raman Raghav 2.0,2016,55,4
Aadmi Sadak Ka,1977,14,6
Ek Bechara,1972,58,22
Manorama Six Feet Under,2007,67,40
Khatta Meetha (2010 film),2010,83,11
Droh Kaal,1994,128,4
Abodh,1984,15,32
Kranti (2002 film),2002,26,5
Aatish: Feel the Fire,1994,26,2
Fareb,1983,0,0
404,2011,0,0
Mata Velankanni,1979,5,83
Flavours,2004,0,2
Purab Aur Paschim,1970,7,23
Jurm,2005,13,1
James,2005,6,0
36 China Town,2006,5,2
Solva Sawan,1979,18,3
Janam Kundli,1995,25,9
Awam (film),1987,13,5
Hawa,2003,0,10
Shaadi Se Pehle,2006,23,14
Ustadi Ustad Se,1981,7,13
China Gate,1998,16,4
Jab Tak Hai Jaan,2012,102,47
Zameer: The Fire Within,2005,26,51
Sonali Cable,2014,3,11
Naam (1986 film),1986,16,0
Bhoot,2003,50,41
Koi Mere Dil Se Poochhe,2002,42,43
Kishen Kanhaiya,1990,24,8
Ishq Ishq Ishq,1974,10,6
Do Knot Disturb,2009,37,78
Karzzzz,2008,11,29
Saheb  Biwi Aur Gangster Returns,2013,9,4
Vaah! Life Ho Toh Aisi!,2005,26,0
Delhi Safari,2012,53,10
Aladin,2009,90,14
Aakhree Raasta (1986 film),1986,18,15
Aaj Ka Arjun,1990,27,0
Rules: Pyaar Ka Superhit Formula,2003,1,0
Chase,2010,14,0
Aakraman,1975,0,0
Saheb Biwi Aur Gangster,2011,40,0
Roti,1974,7,0
Jhoom Barabar Jhoom,2007,27,26
Happy Ending (film),2014,12,57
A Flying Jatt,2016,62,4
Bandhan,1998,142,29
Road to Sangam,2010,4,0
Masterji,1985,0,26
Gangvaa,1984,4,1
Jhoota Kahin Ka,1979,19,5
Kismat,2004,16,3
Cinema Cinema,1979,133,10
